"Time,""Frame Number"",""Frame_length"",""Source_ip"",""Destination_IP"",""Source_Port"",""Destination_Port"",""SYN"",""ACK"",""RST"",""TTL"",""TCP_Protocol"""
"0.000311,""30"",""64"",""192.168.104.66"",""64.15.113.173"",""49480"",""443"",""Not set"",""Set"",""Not set"",""128"",""TCP"""
"0.000312,""31"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000336,""32"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000337,""33"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000361,""34"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000362,""35"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000386,""36"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000387,""37"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000413,""38"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000413,""39"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000437,""40"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000438,""41"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000463,""42"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000464,""43"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000488,""44"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000489,""45"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000514,""46"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000515,""47"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000539,""48"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000540,""49"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000564,""50"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000565,""51"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000589,""52"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000590,""53"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000615,""54"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000615,""55"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000640,""56"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000641,""57"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000666,""58"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000667,""59"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000691,""60"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000692,""61"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000717,""62"",""212"",""77.234.41.23"",""192.168.4.188"",""80"",""49270"",""Not set"",""Set"",""Not set"",""37"",""TCP"""
"0.000720,""63"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000720,""64"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000744,""65"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000744,""66"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000769,""67"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000770,""68"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000794,""69"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000795,""70"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000820,""71"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000820,""72"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000845,""73"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000846,""74"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000858,""75"",""78"",""192.168.193.13"",""192.168.193.30"","""","""","""","""","""",""128"",""UDP"""
"0.000858,""76"",""1518"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000871,""77"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000872,""78"",""138"",""92.45.54.178"",""10.50.209.134"","""","""","""","""","""",""116"",""UDP"""
"0.000872,""79"",""1518"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000898,""80"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000899,""81"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000923,""82"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000924,""83"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000949,""84"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000949,""85"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.000999,""86"",""1500"",""31.216.145.67"",""192.168.72.4"",""80"",""53478"",""Not set"",""Set"",""Not set"",""252,45"",""TCP"""
"0.001001,""87"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001002,""88"",""4438"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001011,""89"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001011,""90"",""1518"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001037,""91"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001038,""92"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001062,""93"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001063,""94"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001088,""95"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001088,""96"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001113,""97"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001114,""98"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001138,""99"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001139,""100"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001177,""101"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001178,""102"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001179,""103"",""1488"",""216.58.211.33"",""10.50.197.71"",""443"",""49576"",""Not set"",""Set"",""Not set"",""53"",""TCP"""
"0.001216,""104"",""78"",""10.50.209.134"",""92.45.54.178"","""","""","""","""","""",""64"",""UDP"""
"0.001217,""105"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001217,""106"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001218,""107"",""1488"",""216.58.211.33"",""10.50.197.71"",""443"",""49576"",""Not set"",""Set"",""Not set"",""53"",""TCP"""
"0.001338,""108"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001341,""109"",""4438"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001343,""110"",""1518"",""64.15.113.178"",""192.168.104.66"",""443"",""49383"",""Not set"",""Set"",""Not set"",""55"",""TCP"""
"0.001355,""111"",""64"",""10.50.197.71"",""216.58.211.33"",""49576"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001356,""112"",""1518"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001368,""113"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001369,""114"",""1518"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001435,""115"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001436,""116"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001437,""117"",""7358"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001457,""118"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001458,""119"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001483,""120"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001484,""121"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001508,""122"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001509,""123"",""70"",""173.194.44.7"",""10.50.214.90"",""443"",""50149"",""Not set"",""Set"",""Not set"",""53"",""TCP"""
"0.001510,""124"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001534,""125"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001535,""126"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001559,""127"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001560,""128"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001585,""129"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001586,""130"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001613,""131"",""139"",""10.50.195.110"",""10.50.255.28"",""48865"",""443"",""Not set"",""Set"",""Not set"",""62"",""TCP"""
"0.001614,""132"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001614,""133"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001637,""134"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001638,""135"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001662,""136"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001663,""137"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001689,""138"",""68"",""92.45.54.178"",""10.50.209.134"","""","""","""","""","""",""116"",""UDP"""
"0.001690,""139"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001690,""140"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001714,""141"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001715,""142"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001739,""143"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001740,""144"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001764,""145"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001765,""146"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001790,""147"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001791,""148"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001816,""149"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001817,""150"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001841,""151"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001841,""152"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001866,""153"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001867,""154"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001893,""155"",""70"",""10.50.195.110"",""10.50.255.28"",""48602"",""443"",""Not set"",""Set"",""Not set"",""62"",""TCP"""
"0.001894,""156"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001894,""157"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001918,""158"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001919,""159"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001943,""160"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001944,""161"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001968,""162"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001969,""163"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001994,""164"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.001995,""165"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002019,""166"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002020,""167"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002044,""168"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002045,""169"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002070,""170"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002071,""171"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002098,""172"",""390"",""192.168.73.44"",""255.255.255.255"","""","""","""","""","""",""63,64"",""UDP"""
"0.002100,""173"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002101,""174"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002124,""175"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002125,""176"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002149,""177"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002150,""178"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002176,""179"",""114"",""192.168.72.4"",""31.216.145.67"",""53478"",""80"",""Not set"",""Set"",""Not set"",""63,128"",""TCP"""
"0.002177,""180"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002178,""181"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002201,""182"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002202,""183"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002227,""184"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002228,""185"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002252,""186"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002253,""187"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002278,""188"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002278,""189"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002303,""190"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002303,""191"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002328,""192"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002329,""193"",""2978"",""10.50.192.199"",""10.50.197.71"",""443"",""49543"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
"0.002356,""194"",""418"",""192.168.64.1"",""192.168.73.44"","""","""","""","""","""",""252,64,64"",""ICMP,UDP"""
"0.002358,""195"",""64"",""10.50.197.71"",""10.50.192.199"",""49543"",""443"",""Not set"",""Set"",""Not set"",""127"",""TCP"""
